Gene_ID,MCF7_ROSA26.KO_DMSO_rep1,MCF7_ROSA26.KO_DMSO_rep2,MCF7_ROSA26.KO_C70_rep1,MCF7_ROSA26.KO_C70_rep2,MCF7_ZBTB7A.KO_DMSO_rep1,MCF7_ZBTB7A.KO_DMSO_rep2,MCF7_ZBTB7A.KO_C70_rep1,MCF7_ZBTB7A.KO_C70_rep2
DCLRE1C,3.42701,2.69238,3.10404,3.76177,2.50784,2.94249,3.09203,2.7201
PAK1IP1,18.3672,14.9135,16.2415,13.3602,16.7011,13.3383,13.2807,13.9269
CYBB,0.0689601,0.0736812,0.106542,0.120877,0.0735569,0.114669,0.0581589,0.0496989
HSPB2,0,0,0,0,0,0,0.119775,0
CMC2,118.794,112.993,111.765,113.718,113.374,109.248,111.892,111.711
PRELP,0.00478078,0.0349885,0.00967324,0,0.00525091,0,0,0
ABCD1,28.1925,19.3167,18.6853,14.6478,26.6114,21.6132,20.5031,15.9465
LPAR1,0.0630445,0.0801355,0.13692,0.0560846,0.0561479,0.285959,0.265444,0.378848
OR3A2,0,0,0,0,0,0,0,0
EXOC7,25.0572,29.8051,26.4374,28.3734,30.7585,29.7744,31.9132,27.4593
CXCL1,0.640928,0.49515,0.644644,0.199332,0.0738057,0.455612,0,0.78222
ACTR6,24.0426,28.0754,23.518,23.8752,26.1126,24.8174,23.3606,21.8899
P2RX1,0.0109389,0.0114436,0.0110529,0,0,0,0,0
CXCL14,0,0,0,0,0,0,0.0234153,0
GFM2,28.6216,28.4457,28.7514,27.7424,29.5005,28.3467,30.1372,28.2215
DAGLA,1.53657,1.15748,0.801402,0.593076,1.18976,1.0267,0.629406,0.351325
MYBPC3,0,0,0.00673918,0,0,0,0,0
PPP3CB,14.1578,12.6517,14.7128,14.5548,10.8196,10.8756,12.762,11.8756
PTAR1,4.26557,2.48498,3.72141,2.96229,2.66137,3.06559,2.90136,2.31885
RCOR2,2.01534,1.67958,2.32375,2.37511,3.49842,2.94562,3.61062,2.5868
RARRES1,0.0508035,0.0533544,0,0.0569742,0,0.0489339,0,0
