Gene_ID,T47D_ROSA26.KO_DMSO_rep1,T47D_ROSA26.KO_DMSO_rep2,T47D_ROSA26.KO_C70_rep1,T47D_ROSA26.KO_C70_rep2,T47D_ZBTB7A.KO_DMSO_rep1,T47D_ZBTB7A.KO_DMSO_rep2,T47D_ZBTB7A.KO_C70_rep1,T47D_ZBTB7A.KO_C70_rep2
KLK3,0,0,0.0411269,0,0,0,0,0
VGLL1,1.24139,1.58353,7.8122,8.87749,2.40531,3.19568,13.1076,14.1085
ABCA4,0.0717559,0.11273,0.0204211,0.0425911,0.0929797,0.169885,0.0746964,0.0685344
C15orf61,2.33819,2.66757,4.13154,2.48864,2.46606,3.22713,2.61661,1.9591
TMEM26,0.00799877,0.0601126,0.00983736,0,0.0176643,0.134446,0.174833,0.212801
OR6C75,0,0,0,0,0,0,0,0
SLC35E2B,6.51876,5.22925,3.02254,5.61553,6.40044,6.11617,6.54015,6.29207
LUZP1,3.53587,4.04769,6.22219,4.60906,3.17836,3.99302,4.65897,6.67892
C14orf180,0.0347178,0,0,0,0,0,0.043054,0
DNAJB2,19.3329,19.5836,19.2814,22.6261,24.4684,24.6611,20.2915,21.3969
TVP23C,4.91177,4.78613,5.42771,4.95125,6.37073,6.63867,3.39802,4.81753
PGM1,10.8723,12.5045,5.73962,11.4011,10.0551,14.2502,11.3967,13.3123
WDR89,8.08851,7.47832,4.23291,9.09778,8.04077,6.48094,7.16877,8.33805
TICAM2,0.00464999,0.0572404,0.777288,0.285623,0.00403697,0.0758113,0.00441722,0.194955
CEACAM4,0,0,0,0,0,0,0,0
RPRML,0,0,0,0.0524942,0,0,0,0
RNPEP,54.6944,63.679,44.3453,55.8667,51.8091,59.3653,47.8009,48.3288
KCNQ1,0.166751,0.117739,0.0162117,0.236911,0.630158,0.179304,2.44768,0.381093
GCM2,0,0.0198172,0,0,0,0,0,0
NSMAF,10.3465,9.52141,2.80381,9.11187,9.3883,7.57392,8.72893,8.23546
RP11-497E19.2,0,0,0,0,0,0,0,0
SSR2,201.816,184.87,243.786,193.977,190.063,183.12,189.741,173.912
KPNA2,158.848,246.334,207.853,253.687,193.834,249.636,193.803,252.858
C17orf103,1.12537,0.812178,0.191488,0.882106,0.984585,0.623627,1.09654,0.755833
CP,0.320322,0.258469,1.09245,0.220529,0.147034,0.143318,0.230626,0.389057
CDH16,0,0,0,0,0,0,0,0
MARK3,35.2671,31.8433,21.2792,32.4118,32.247,26.8791,31.8506,28.2186
A4GALT,2.94698,2.07023,2.6393,2.38296,2.42998,2.51172,3.41957,2.85222
ANKRD18B,2.16437,2.41762,4.60339,2.52444,2.11541,2.26253,1.81339,2.2893
RASAL1,2.54818,2.00614,0.664008,1.34849,2.25562,1.95671,2.11339,2.32261
OPRK1,0,0,0,0,0,0.0376779,0,0
LRRC34,0,0,0,0,0.301079,0,0.0345753,0
ZRANB3,2.29854,1.86921,0.665601,2.21244,2.00384,2.13474,1.93957,1.83994
BAI1,0.0223441,0.0481864,0.0183316,0.0682968,0.0164472,0.0277686,0.100759,0.0666805
C15orf43,0,0,0,0,0,0,0,0
RBMY1A1,0,0,0,0,0,0,0,0
COL18A1,5.46353,3.21644,5.86853,4.96118,9.28746,5.27897,11.6668,6.71433
SMAD4,8.9527,8.3863,2.26766,6.67657,11.0032,10.6222,10.0416,9.80273
SLC27A5,13.2905,14.368,35.9831,10.8378,15.3744,16.8887,9.19667,12.0024
C9orf142,41.2781,50.0786,74.3669,40.5919,42.5227,48.8549,31.6281,40.7644
GUCA1B,0.251253,0.0544216,0,0.15317,0.667949,0.0612247,0.062171,0.0567821
ZFP69B,1.21686,1.06181,0.396178,1.11685,0.980091,0.457927,0.522375,0.734945
ZBTB48,6.6731,4.30069,4.32045,5.13894,5.32981,5.03737,4.2598,4.841
SMPD4,17.6143,22.3247,5.25289,21.7211,17.7347,22.4662,16.9575,20.2258
DNMT3L,0,0,0,0,0.146058,0,0.0349038,0.17
CPSF6,33.3631,38.9007,33.2006,40.4743,38.0701,34.846,34.5669,39.4651
SFT2D1,37.1808,34.4089,57.0641,34.0853,33.5016,29.5067,36.1229,32.0472
CFTR,0,0,0,0.0139751,0,0,0,0
SF3B14,88.3966,90.4878,302.768,92.1673,89.4088,76.4057,83.8016,77.2263
PRKACA,43.3219,37.2603,4.03838,41.3197,46.6299,48.8326,45.643,44.7409
NTF4,5.07915,2.89649,16.1223,4.57973,9.47477,5.45956,9.66591,7.94768
SETD4,7.99393,10.4688,6.06005,8.4493,8.92375,7.76326,8.31814,9.18789
TBCC,7.24392,8.61578,8.39535,8.60448,8.35143,9.39168,8.23036,8.97216
RBFOX3,0,0.0177963,0.020081,0.0335814,0,0,0.0406102,0.0369822
LY6G5B,1.76418,4.06263,0.661699,3.29959,4.36557,4.65451,3.26335,6.12654
DHPS,54.4902,38.2983,70.9754,34.8573,44.0169,40.349,39.5958,30.74
FANCF,6.99387,5.26367,5.07726,5.49766,6.04849,4.87351,5.25414,5.4957
C17orf99,0,0,0,0,0,0,0,0
XRCC6,160.073,209.029,135.099,199.504,155.332,197.503,154.655,188.348
MAMLD1,0,0,0.0594842,0.0136056,0.0147568,0.0113966,0.0110944,0.172931
AC009892.10,0,0,0,0,0,0,0,0
TCL1B,0.704887,0.305257,0.331733,0.143269,0.468367,0.630748,0.813588,0.265306
POSTN,0,0,0,0,0,0,0,0
RAP1GDS1,16.4513,21.8675,3.51117,19.4936,15.7467,15.2049,21.242,18.1741
STH,0,0,0,0,0,0,0,0
RIMBP3B,0.00706725,0,0.0188525,0.0264024,0,0,0.014485,0.0237244
ZIC3,0.0984834,0.0771441,0.0150645,0.138496,0.0815839,0.0763211,0.0909287,0.0551655
NECAB2,2.75213,1.2722,2.86981,1.85975,3.75416,2.03528,2.22115,0.961176
CNTNAP3,0.140817,0.137231,0.0768098,0.196135,0.0453943,0,0.0781294,0.0187256
ZZEF1,3.06451,2.99514,0.515797,3.70425,2.89738,3.58346,3.31976,4.50498
MARCKS,0.195766,0.253367,0.600662,0.119656,0.227001,0.279481,0.313086,0.306871
KLHDC8B,4.70485,3.1212,4.41249,2.74668,5.51807,5.2723,3.65041,3.51418
PPP1R9A,1.1766,0.929626,0.537664,0.96039,0.508251,0.597594,0.739961,0.933654
FASLG,0,0,0,0,0,0,0,0
PXDNL,0.0365356,0.0255409,0,0.0186093,0.0531774,0,0,0
C6orf62,31.6057,39.6802,27.5719,50.0343,40.0334,37.7193,40.0285,48.5445
ETNPPL,0.0228696,0.141874,0,0.0232742,0.035043,0,0,0.0964537
