Gene_ID,SUM149_KDM5A.KO_C70_rep1,SUM149_KDM5A.KO_C70_rep2,SUM149_KDM5A.KO_DMSO_rep1,SUM149_KDM5A.KO_DMSO_rep2,SUM149_KDM5B.KO_C70_rep1,SUM149_KDM5B.KO_C70_rep2,SUM149_KDM5B.KO_DMSO_rep1,SUM149_KDM5B.KO_DMSO_rep2,SUM149_ROSA26.KO_C70_rep1,SUM149_ROSA26.KO_C70_rep2,SUM149_ROSA26.KO_DMSO_rep1,SUM149_ROSA26.KO_DMSO_rep2,SUM149_ZBTB7A.KO_C70_rep1,SUM149_ZBTB7A.KO_C70_rep2,SUM149_ZBTB7A.KO_DMSO_rep1,SUM149_ZBTB7A.KO_DMSO_rep2
REPIN1,16.4466,17.3375,19.9971,15.5465,15.9149,15.9789,18.4958,16.9206,16.7689,16.4114,17.0231,16.2638,17.7698,18.6465,18.664,17.9771
USP31,7.35746,7.77946,7.97467,8.17657,7.82311,8.62718,7.75005,7.26869,8.04494,8.60708,7.92888,7.45043,8.17927,8.38629,7.49367,7.10872
DEFB104B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR24,2.02777,2.42525,2.95592,2.31055,2.003,1.93972,2.83015,2.63838,2.04434,2.17047,2.58244,2.85139,1.93425,2.45465,2.56464,2.59316
CSF3R,0,0,0,0,0,0,0,0,0,0,0,0,0.0146575,0.0313495,0.0792719,0.0433328
RPN2,86.4192,95.4078,89.714,81.3837,84.1024,88.3344,85.8409,92.6852,82.5801,82.8086,77.6681,79.6432,79.0743,85.8884,86.847,81.729
MRPL41,19.0097,21.3314,21.9418,19.9342,18.2824,18.0515,21.1298,21.3196,19.5572,18.4888,20.5568,17.8385,15.7688,18.8476,17.2648,20.0174
AMIGO2,100.097,98.3243,65.9028,72.6467,97.2033,104.513,69.3084,73.877,89.7474,90.4206,68.5625,69.6679,73.2482,81.3105,58.1718,58.5571
MAPK9,31.8362,34.002,34.7546,33.1969,30.5718,33.055,33.1704,30.6481,30.1702,29.9977,31.1713,28.6932,28.3882,31.2573,30.3829,30.9236
C1orf100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSPH1,0,0.0456718,0.100361,0,0,0.0601096,0,0.110284,0.0510564,0.0537235,0.200554,0,0.09208,0,0.0893273,0.0415085
UBTD1,5.18121,5.93549,6.52737,4.37123,5.20299,4.94251,5.64224,6.05411,5.68894,5.76003,5.57581,5.99825,6.47524,8.04734,8.47519,8.09597
CDH5,0.0342346,0.0934631,0.027735,0.0302078,0.060658,0.0632156,0,0.0262402,0.171415,0.0284847,0.00883103,0.0212888,0.0159374,0.0196081,0,0.0177546
LHFPL5,0.0695567,0.0567181,0,0,0.0494922,0.074724,0.0432746,0.0199373,0.0635067,0.135637,0.0901831,0.0478613,0.0812126,0.121635,0.0160861,0.030097
TOMM20L,0.070796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006538.4,1.10E-21,2.22E-08,0.288299,5.23E-13,9.77E-05,3.91E-12,3.25E-22,3.54E-08,2.99E-22,3.26E-29,4.83E-20,1.44E-15,4.70E-08,0.000245726,2.40E-05,2.88E-10
C1orf200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKFN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1715,6.77421,7.22835,6.58754,9.23171,5.9627,7.12079,7.87484,8.346,5.81699,5.63398,6.5019,6.95802,5.70713,6.97711,6.68357,6.67267
PLB1,0.0665738,0.108933,0.207616,0.0103528,0.114611,0.160923,0.145077,0.0997069,0.0861922,0.0892931,0.253014,0.228134,0.204826,0.129728,0.141635,0.282753
ZNF645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19orf80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPL32,45.2651,48.2401,41.8018,43.0576,45.5546,45.3501,43.2218,45.8789,41.2207,39.8147,38.3878,39.2242,39.3975,42.0331,41.7397,40.5489
PTRHD1,5.51421,6.91442,6.80098,6.50273,6.92412,6.26705,7.93602,6.59847,6.58923,6.3376,5.66871,5.7765,4.71982,6.89805,6.01888,6.70606
ZC3H7B,13.6538,14.9295,13.8452,10.5136,13.3242,13.9233,15.0073,13.9434,16.3978,16.4117,16.2024,15.9957,15.6891,16.9175,15.7966,16.0179
